,comentario,comunidade_link,comunidade_texto,data_comentario,link_topico,nome_comentador,nome_topico,num_comentario,timestamp_comentario,Ano
13,"Veja o q querem fazer com a América do SulDelenda Carthago (Delenda deve ser destruída). Catão dizia sempre isso, no fim de todos os seus discursos.Depois da queda do Muro de Berlim em 1989, Fidel Castro convocou em 1990, junto com Luis Inácio ""Lula"" da Silva e o PT, partidos estrangeiros, grupos guerrilheiros, organizações criminosas, ... daAmérica Latina, a uma reunião na cidade de São Paulo onde se associaram numa organização denominada Foro de São Paulo.O objetivo do Foro de São Paulo é o de apoiar política e financeiramente a implantação do comunismo na América Latina.Atualmente, é implantado por diversos modos, através de meios gramscistas, via partidos de esquerda, ""Círculos Bolivarianos"", para a concretização da URSAL (União das Repúblicas Socialistas da América Latina).Este espaço é para a formulação de idéias que levem à neutralização do totalitário FORO DE SÃO PAULO!Delenda Chaves, Fidel, Evo, Lula, FARC, MST, Comunistas, Esquerdopatas,...Delenda URSAL!Veja o vídeo http://www.youtube.com/watch?v=XKI6BRCSYEo",http://orkut.google.com/c342194.html,UNE,10 de novembro de 2009,http://orkut.google.com/c342194-t441a35ad9763a552.html,alan cesar - ,Lula colocará Brasil em guerra se Chávez pedir,3,2009-11-10,2009
15,"CALAAAADO! ""PORQUE NO TE CALLAS?"" O Rei de Espanha, Juan Carlos ""O democrata"" , foi admirável quando disse ""PORQUE NO TE CALLAS?"" Ele não se dirigiu só a Chaves ""o Fanfarrão""; como democrata e defensor das liberdades (pois é, a democracia e a liberdade também precisam de firmes defensores para interpor-se contra os que as agridem), o Rei mandou calarem-se todos os déspotas e aspirantes a ditadores da Terra, presentes e ausentes, passados e futuros governantes que buscam o totalitarismo como meio de dominar a massa ignara e alheia , passo a passo, como hoje se vê, nos principais atores do Foro de São Paulo*, que querem criar a URSAL (União das Repúblicas Socialistas da América Latina). O brado do REI ""PORQUE NO TE CALLAS?""aplica-se a muitos : a Lula ""o preguiçoso passeador"", a Castro ""o morto pseudo-falante"", a Evo, Ortega, Correa, ""os bufões da corte bolivariana"", etc.  Nós, democratas (não estou falando do DEM), para contrapor-nos aos saudosistas do comunismo, que estampam o sanguinário assassino Che em suas camisas, deveríamos usar camisetas (com ou sem a figura do Rei Juan Carlos) mas com a agora já imortal frase ""PORQUE NO TE CALLAS?"", no lugar da ""falsa ternura"".  E  nem  precisa  colocar  nenhum  nome   depois da  frase, tipo ""PORQUE NO TE CALLAS, lulla?"" ou ""PORQUE NO TE CALLAS, chaves?"" ou ""PORQUE NO TE CALLAS, fidel?"", porque todos saberão por quem os sinos dobram, eles dobram por todos.  Ass. EFUPEO DENESHU (AUTORIZADA A PUBLICAÇÃO COM OU SEM OS ANEXOS)Escrito por Jacornélio M. Gonzaga",http://orkut.google.com/c342194.html,UNE,15 de novembro de 2007,http://orkut.google.com/c342194-ta6fee10a9ce77e07.html,Abutre do Apedeuta - ,A UNE apoia atitudes como as de Hugo Chavez?,4,2007-11-15,2007
16,"CALAAAADO! ""PORQUE NO TE CALLAS?"" O Rei de Espanha, Juan Carlos ""O democrata"" , foi admirável quando disse ""PORQUE NO TE CALLAS?"" Ele não se dirigiu só a Chaves ""o Fanfarrão""; como democrata e defensor das liberdades (pois é, a democracia e a liberdade também precisam de firmes defensores para interpor-se contra os que as agridem), o Rei mandou calarem-se todos os déspotas e aspirantes a ditadores da Terra, presentes e ausentes, passados e futuros governantes que buscam o totalitarismo como meio de dominar a massa ignara e alheia , passo a passo, como hoje se vê, nos principais atores do Foro de São Paulo*, que querem criar a URSAL (União das Repúblicas Socialistas da América Latina). O brado do REI ""PORQUE NO TE CALLAS?""aplica-se a muitos : a Lula ""o preguiçoso passeador"", a Castro ""o morto pseudo-falante"", a Evo, Ortega, Correa, ""os bufões da corte bolivariana"", etc.  Nós, democratas (não estou falando do DEM), para contrapor-nos aos saudosistas do comunismo, que estampam o sanguinário assassino Che em suas camisas, deveríamos usar camisetas (com ou sem a figura do Rei Juan Carlos) mas com a agora já imortal frase ""PORQUE NO TE CALLAS?"", no lugar da ""falsa ternura"".  E  nem  precisa  colocar  nenhum  nome   depois da  frase, tipo ""PORQUE NO TE CALLAS, lulla?"" ou ""PORQUE NO TE CALLAS, chaves?"" ou ""PORQUE NO TE CALLAS, fidel?"", porque todos saberão por quem os sinos dobram, eles dobram por todos.  Ass. EFUPEO DENESHU (AUTORIZADA A PUBLICAÇÃO COM OU SEM OS ANEXOS)Escrito por Jacornélio M. Gonzaga",http://orkut.google.com/c342194.html,UNE,15 de novembro de 2007,http://orkut.google.com/c342194-te32bc7ce86103098.html,Abutre do Apedeuta - ,"""Por que não se cala?"", diz rei espanhol a Chávez.",25,2007-11-15,2007
